pl_name,pl_mass,pl_mass_err1,pl_mass_err2,pl_rad,pl_rad_err1,pl_rad_err2,pl_instell,pl_orbital_period,pl_semi_major_axis,pl_eccentricity,pl_teq,st_age,st_age_upper,st_age_lower,st_mass,st_mass_err1,st_mass_err2,st_teff,st_teff_err1,st_teff_err2,st_met,st_met_err1,st_met_err2,pl_zbulk,pl_zbulk_err,pl_zbulk_rel,pl_zbulk_rel_err,pl_mbulk,pl_mbulk_err
CoRoT-10 b,2.73,0.14,0.14,0.97,0.07,0.07,45614227.90792104,13.2406,0.1055,0.524,669.6753595,3,3,0,0.89,0.05,0.05,5075,75,75,0.26,0.07,0.07,0.12668506572537314,0.051133914,4.972758694530868,2.0071554014213224,109.90348008845471,44.757535515105296
CoRoT-20 b,4.23,0.26,0.25,0.84,0.04,0.04,187874113.50901175,9.24285,0.0901,0.575,954.0166922,0.1,0.9,0.060000000000000005,1.14,0.08,0.08,5880,90,90,0.14,0.12,0.12,,,,,,
CoRoT-30 b,2.9,0.22,0.22,1.009,0.076,0.076,145277568.05862153,9.06005,0.0844,0.007,894.620566,3,6.7,0.6000000000000001,0.98,0.03,0.05,5650,100,100,0.02,0.1,0.1,0.1054002522226751,0.055101281005232164,7.189747102674578,3.7586653457343204,97.13827995074386,51.431040952652445
CoRoT-8 b,0.22,0.03,0.03,0.57,0.02,0.02,122000631.6,6.21229,0.063,0,856.4061102,3,,,0.88,0.04,0.04,5080,80,80,0.3,0.1,0.1,0.6860142757161503,0.03302342,24.558685505356728,1.1822083050338847,48.071233826070305,7.526465452
CoRoT-9 b,0.826,0.083,0.083,1.037,0.082,0.082,6689434.930349798,95.2738,0.4027,0,414.4160776,6,9,3,0.96,0.08,0.08,5625,80,80,-0.01,0.06,0.06,0.10063818186195342,0.081775812,7.355881875,5.9771868052438615,26.76207263356162,22.09936506227877
HAT-P-12 b,0.2110100692259282,0.012001259,-0.012001259,0.9597321428571428,0.029017857,-0.020982143,190143199.65591723,3.2130598,0.0384,0,956.8843174,2.5,4.5,0.5,0.73,0.02,-0.02,4650,60,-60,-0.29,0.05,-0.05,0.085457623,0.053713971,11.902077440928958,7.480992630067097,5.729717639251472,3.6161194139155683
HAT-P-15 b,1.940183134,0.3000283196979232,-0.30002832,1.060892857142857,0.070089286,-0.070089286,145921066.2749269,10.8635,0.095994768,0.19,895.6095916,6.5,9.3,4.9,1,0.23,-0.23,5568,90,-90,0.22,,,0.076287641,0.052219342,3.2834178026237373,2.247518930709695,47.70047284,33.96188080326759
HAT-P-17 b,0.5800547514159848,0.060005664,-0.060005664,1.0508035714285715,0.04,-0.04,81751723.10185856,10.33852,0.092566042,0.35,774.8425581,7.8,11.1,4.5,0.99,0.15,-0.15,5246,80,-80,0,,,0.030927366873829448,0.027848611793722153,2.2090976338449604,1.9891865566944393,5.916560933636634,5.435340096414061
HAT-P-18 b,0.1970106985525487,0.013001888,-0.013001888,0.9958035714285716,0.052053571,-0.052053571,116868630.28071591,5.508023,0.0559,0.084,847.2541914,12.4,16.8,6,0.77,0.03,-0.03,4803,80,-80,0.1,0.08,-0.08,0.043452453,0.038216812298296605,2.465393599944296,2.1683352178353683,2.7211915125143817,2.4053556752974097
HAT-P-20 b,7.22,0.36,0.36,1.025,0.053,0.053,195817874.5755826,2.87531694,0.03593,0.0172,963.9451455,6.7,12.4,2.9000000000000004,0.74,0.04,0.04,4595,45,45,0.22,0.09,0.09,0.020175721,0.011488506914939165,0.8683624200147986,0.49446499794843857,46.381601678371524,26.526763265925876
